name,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,team,core_pass_att,core_rush_att,core_tar,core_pass_yd,core_pass_td,core_int,core_rush_yd,core_rush_td,core_rec,core_rec_yd,core_rec_td,core_fum,proj_pass_att,proj_rush_att,proj_tar,proj_pass_yd,proj_pass_td,proj_int,proj_rush_yd,proj_rush_td,proj_rec,proj_rec_yd,proj_rec_td,proj_fum
Justin Watson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.67,11.48,0.16,0.0,9,HOU,0.0,0.0,1.71,0.0,0.0,0.0,0.0,0.0,1.14,19.26,0.29,0.0,0.0,0.0,1.99,0.0,0.0,0.0,0.0,0.0,1.27,21.76,0.29,0.0
Juwan Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.71,7.24,0.03,0.05,9,NOR,0.0,0.0,6.13,0.0,0.0,0.0,0.0,0.0,4.44,45.26,0.18,0.36,0.0,0.0,5.98,0.0,0.0,0.0,0.0,0.0,4.28,45.8,0.15,0.01
KaVontae Turpin,0.0,0.0,0.0,0.0,0.0,0.0,1.75,6.76,0.0,2.58,0.58,7.79,0.02,0.02,9,DAL,0.0,1.75,2.67,0.0,0.0,0.0,11.68,0.0,1.58,21.66,0.05,0.06,0.0,2.12,2.73,0.0,0.0,0.0,12.78,0.0,1.66,23.82,0.06,0.0
Kaleb Johnson,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,1,PIT,0.0,1.0,0.0,0.0,0.0,0.0,-2.02,0.0,0.0,0.0,0.0,0.86,0.0,1.11,0.0,0.0,0.0,0.0,-1.99,0.0,0.0,0.0,0.0,0.01
Kalif Raymond,0.0,0.0,0.0,0.0,0.0,0.0,0.06,-12.0,0.0,2.28,0.66,6.39,0.0,0.0,4,DET,0.0,0.06,2.39,0.0,0.0,0.0,-0.72,0.0,1.52,14.38,0.0,0.0,0.0,0.04,1.94,0.0,0.0,0.0,-0.56,0.0,1.25,12.17,0.0,0.0
Kameron Johnson,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1,TAM,0.0,0.91,0.0,0.0,0.0,0.0,9.16,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,9.47,0.0,0.0,0.0,0.0,0.0
Kareem Hunt,0.0,0.0,0.0,0.0,0.0,0.0,9.75,3.53,0.03,2.38,0.66,4.69,0.0,0.0,10,KAN,0.0,10.36,2.42,0.0,0.0,0.0,36.88,0.35,1.59,11.21,0.0,0.0,0.0,11.29,2.13,0.0,0.0,0.0,41.28,0.37,1.39,10.81,0.0,0.0
Kayshon Boutte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.08,0.64,8.78,0.03,0.0,9,NWE,0.0,0.0,6.24,0.0,0.0,0.0,0.0,0.0,3.91,53.98,0.18,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,3.73,51.43,0.22,0.0
KeAndre Lambert-Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,LAC,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keaton Mitchell,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.82,0.0,1.0,1.0,28.0,0.0,0.0,1,BAL,0.0,11.62,1.05,0.0,0.0,0.0,21.42,0.0,1.06,29.28,0.0,0.0,0.0,12.96,1.14,0.0,0.0,0.0,22.0,0.0,1.13,32.77,0.0,0.0
