name,team,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,core_pass_att,core_rush_att,core_tar,core_pass_yd,core_pass_td,core_int,core_rush_yd,core_rush_td,core_rec,core_rec_yd,core_rec_td,core_fum,proj_pass_att,proj_rush_att,proj_tar,proj_pass_yd,proj_pass_td,proj_int,proj_rush_yd,proj_rush_td,proj_rec,proj_rec_yd,proj_rec_td,proj_fum
Kylen Granson,IND,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.21,0.45,5.87,0.0,0.0,14,0.0,0.0,2.22,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,2.22,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0
Kyler Murray,ARI,0.69,31.82,7.12,0.04,0.02,30,4.59,7.33,0.06,0.0,0.0,0.0,0.0,0.1,17,32.15,4.57,0.0,230.24,1.29,0.62,32.99,0.28,0.0,0.0,0.0,0.46,32.15,4.57,0.0,230.24,1.29,0.62,32.99,0.28,0.0,0.0,0.0,0.46
Kyren Williams,LAR,0.0,0.0,0.0,0.0,0.0,0,19.75,4.11,0.04,2.5,0.85,4.55,0.05,0.01,16,0.0,20.1,2.5,0.0,0.0,0.0,82.58,0.78,2.13,11.58,0.14,0.2,0.0,20.1,2.5,0.0,0.0,0.0,82.58,0.78,2.13,11.58,0.14,0.2
Ladd McConkey,LAC,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7.0,0.73,10.26,0.06,0.02,16,0.0,0.0,6.87,0.0,0.0,0.0,0.0,0.0,4.99,70.86,0.4,0.14,0.0,0.0,6.87,0.0,0.0,0.0,0.0,0.0,4.99,70.86,0.4,0.14
Lamar Jackson,BAL,0.67,27.88,8.8,0.09,0.01,23,8.18,6.58,0.03,0.0,0.0,0.0,0.0,0.07,17,27.92,8.35,0.0,247.01,2.44,0.28,55.49,0.26,0.0,0.0,0.0,0.55,27.92,8.35,0.0,247.01,2.44,0.28,55.49,0.26,0.0,0.0,0.0,0.55
Lucas Krull,DEN,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.3,0.83,6.61,0.0,0.0,10,0.0,0.0,2.26,0.0,0.0,0.0,0.0,0.0,1.87,14.98,0.0,0.0,0.0,0.0,2.26,0.0,0.0,0.0,0.0,0.0,1.87,14.98,0.0,0.0
Luke Farrell,JAX,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.7,0.71,3.94,0.0,0.0,10,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0.0,1.25,6.91,0.0,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0.0,1.25,6.91,0.0,0.0
Luke McCaffrey,WAS,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.75,7.0,0.0,0.0,12,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,1.52,14.12,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,1.52,14.12,0.0,0.0
Luke Musgrave,GNB,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.43,0.7,4.5,0.0,0.0,7,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,1.01,6.37,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,1.01,6.37,0.0,0.0
Luke Schoonmaker,DAL,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.6,0.75,6.69,0.03,0.0,10,0.0,0.0,3.63,0.0,0.0,0.0,0.0,0.0,2.76,24.53,0.11,0.0,0.0,0.0,3.63,0.0,0.0,0.0,0.0,0.0,2.76,24.53,0.11,0.0
Mac Jones,JAX,0.65,26.2,6.38,0.03,0.03,14,2.8,3.29,0.04,0.0,0.0,0.0,0.0,0.07,10,26.72,2.79,0.0,172.43,0.79,0.72,9.34,0.11,0.0,0.0,0.0,0.18,26.72,2.79,0.0,172.43,0.79,0.72,9.34,0.11,0.0,0.0,0.0,0.18
Mack Hollins,BUF,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.12,0.62,7.56,0.1,0.0,16,0.0,0.0,3.15,0.0,0.0,0.0,0.0,0.0,1.97,24.02,0.32,0.0,0.0,0.0,3.15,0.0,0.0,0.0,0.0,0.0,1.97,24.02,0.32,0.0
Malik Heath,GNB,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.6,0.77,7.46,0.15,0.0,5,0.0,0.0,2.58,0.0,0.0,0.0,0.0,0.0,2.01,19.19,0.42,0.0,0.0,0.0,2.58,0.0,0.0,0.0,0.0,0.0,2.01,19.19,0.42,0.0
Malik Nabers,NYG,0.0,0.07,0.0,0.0,0.0,0,0.33,0.4,0.0,11.33,0.64,7.08,0.04,0.01,15,0.07,0.33,11.32,0.0,0.0,0.0,0.13,0.0,7.27,80.15,0.43,0.11,0.07,0.33,11.32,0.0,0.0,0.0,0.13,0.0,7.27,80.15,0.43,0.11
